subset_index,mean_metric,std_metric,iqr,range_metric
0,0.9148666149973869,0.001644161611781288,0.002457572519779183,0.007274419069290161
1,0.921293629169464,0.002600928257315549,0.0033842474222183228,0.011719864606857255
2,0.9125804748535157,0.0021829440295032705,0.0025578841567038824,0.010764402151107855
3,0.9004633748531341,0.0026813058898869017,0.0034437447786330733,0.011139875650405862
4,0.9186376274824143,0.0018782595781064496,0.0026471644639968206,0.009943324327468805
5,0.9170595733523369,0.002123783192175419,0.0025733217597007085,0.011148774623870872
6,0.911989973962307,0.0016503251414700954,0.00251875519752498,0.00753276348114007
