subset_index,mean_total,std_total,iqr_total,range_total
0,76.52,5.663064808944273,9.0,29
1,64.87,5.795600909223298,8.25,30
2,65.35,5.44833400539499,9.0,28
3,66.85,6.784377479015873,9.0,37
4,84.32,5.391500981014734,8.0,28
5,66.28,4.526197592512355,6.0,23
6,59.4,4.888659315087307,4.25,29
