subset_index,mean_metric,std_metric,iqr,range_metric
0,0.9388381023406983,0.0029172268279706016,0.004003396630287148,0.014783352613449097
1,0.9444485353827478,0.0019907991076541245,0.0019108310341835466,0.015085333585739158
2,0.943566514492035,0.001720268080302127,0.0020040377974510637,0.008181715011596702
3,0.9479594092369079,0.0016482782319262443,0.002280829846858956,0.007094985246658303
4,0.9478345124125481,0.0016022980252986341,0.0024731710553169695,0.007536780834198065
5,0.945826028585434,0.002151810788043171,0.002612295746803217,0.0136050283908844
6,0.9457159521579743,0.0017627075542218046,0.0025029525160789046,0.00820889472961428
