subset_index,mean_metric,std_metric,iqr,range_metric
0,0.9068356410861016,0.002139137930864417,0.0027074828743934853,0.012642097473144487
1,0.9125420984625816,0.0030193521378483372,0.0033426165580749956,0.016231781244277932
2,0.9002890213131904,0.004961434997860641,0.005321735143661521,0.03508266806602478
3,0.8893569838404656,0.008130030322910606,0.010495063662528947,0.045952397584915206
4,0.9073596141338348,0.002835515317431213,0.003998342156410151,0.012809514999389648
5,0.9225854454040526,0.0030462002506405697,0.004464930295944303,0.014300835132598833
6,0.9052640587091446,0.0022255349891739497,0.0026404514908791032,0.011534065008163452
