subset_index,mean_metric,std_metric,iqr,range_metric
0,0.6990610520897974,0.030531978778440286,0.0388707407706832,0.1764669810883258
1,0.6881390938426177,0.04440402618220315,0.06464674118186131,0.23339249356036917
2,0.7440270327615679,0.02872862388946935,0.024774712323615167,0.1668055716248843
3,0.7211017021513995,0.03757836364081586,0.06276959497478485,0.137969689627925
4,0.6630008976924171,0.04028995488932456,0.04935548328877304,0.19359510348286635
5,0.7361452897583096,0.0387586391913427,0.049423186480259784,0.16936183213129796
6,0.6358461491510273,0.039627676730090516,0.05245394656696001,0.1955234960599096
