subset_index,mean_metric,std_metric,iqr,range_metric
0,0.8057691644733089,0.021302911712593083,0.023886726796148672,0.10899533331359856
1,0.8223371483687062,0.018893898682432412,0.019735096394944418,0.08402082323949867
2,0.7882498083118255,0.01709833295764889,0.020359557867161926,0.08685382008512477
3,0.7871871306603377,0.01983082451069334,0.030294163524916762,0.08593471348195503
4,0.8141607110803085,0.019276161200948428,0.02767025679271151,0.07225722670480828
5,0.8140301358703748,0.014671911286258135,0.022742862999502678,0.05601891279221349
6,0.8230330513122843,0.021186105323382765,0.028693613409947805,0.0990146607159137
7,0.7959711443784883,0.014196471097198165,0.018542130291607117,0.0762719988819438
8,0.757063562304257,0.023249193358730796,0.03546181917149693,0.10812019705702047
9,0.8382299782637077,0.00980531667629415,0.00837751775980533,0.04096575975411765
