subset_index,mean_metric,std_metric,iqr,range_metric
0,0.92659234726429,0.00394125659417537,0.004677766561508201,0.01903552412986753
1,0.9416006870269775,0.0033150052378821283,0.0033941924571990745,0.015504485368728615
2,0.9334069882035255,0.003391021880419978,0.0038765028119087663,0.014945524930954024
3,0.9390600228905677,0.00445005006483162,0.003857240080833435,0.026713144779205278
4,0.9314283999800682,0.0026015813260209463,0.003958247601985931,0.01143198609352114
5,0.9174294189810753,0.0031602753107793794,0.0034804224967956987,0.01854906082153318
6,0.9367524552345275,0.0025283705905015264,0.0031251817941665427,0.012474739551544212
