subset_index,mean_metric,std_metric,iqr,range_metric
0,0.9507733846902847,0.00278991368195012,0.004475608468055725,0.011885464191436768
1,0.9467991946339608,0.0019187682726874691,0.002196666598319963,0.010441458225250222
2,0.9512938802242279,0.0016769714237594299,0.002293425798416182,0.006847733259201072
3,0.950443195104599,0.002210099952332801,0.00348055362701416,0.009084928035736128
4,0.947388446867466,0.002321664597428125,0.002931022644042991,0.009877610206604048
5,0.9464513426423073,0.0025064464567824637,0.00268602073192592,0.014624994993209905
6,0.9501864954829216,0.0023144191904916076,0.0029956087470055515,0.009252935647964478
