subset_index,mean_metric,std_metric,iqr,range_metric
0,0.24678710464376702,0.030986584527681917,0.04406072298390376,0.15620260403159858
1,0.22763340461192158,0.019922038319967417,0.023626680066118677,0.0962258119086013
2,0.22488429696393744,0.02750620166974893,0.0332746956522037,0.14353403671732518
3,0.24113520830535312,0.049304894721974066,0.06694302059356474,0.2408823336942046
4,0.1708027330358436,0.04995023125448296,0.0775516465940636,0.24310043681196475
5,0.137434950273862,0.029593404183754935,0.04269748496646088,0.13155253211492984
6,0.1970348571985215,0.025122218543129217,0.03196560218758135,0.11872324939378126
