subset_index,mean_metric,std_metric,iqr,range_metric
0,0.854181340098381,0.0064722388299881944,0.00942486226558692,0.02808151841163642
1,0.859603196322918,0.006866543770757444,0.009611284732818581,0.032895803451538086
2,0.8796104496121407,0.005459114046862246,0.005736237764358498,0.03659060001373293
3,0.8541254484355449,0.008245921767919632,0.00696618556976325,0.05943121612071989
4,0.8652154883742332,0.009082694104054318,0.012279175221919902,0.04327320456504824
5,0.8781420045495034,0.005806014963199127,0.006668055057525657,0.041045105457305886
6,0.8485109229683876,0.00781407014747008,0.009741328656673542,0.0452386736869812
