subset_index,mean_metric,std_metric,iqr,range_metric
0,0.6593928006048165,0.029121519198856517,0.03586936518675721,0.13302813023415494
1,0.6543927991052942,0.026764202184568667,0.037812794369572966,0.13513730112308764
2,0.5516535475939289,0.040677968467471834,0.05408218830449707,0.18296480996259246
3,0.647603022540236,0.025003979559910735,0.03679466485087579,0.11355317886964189
4,0.5813187515500018,0.04015903795141781,0.043249338446345265,0.21026279311668628
5,0.6439599846854916,0.02566880055385285,0.029885069465255265,0.13345704674887815
6,0.6167434429537662,0.029053581395621416,0.03257525786785109,0.14104917868714129
