subset_index,mean_metric,std_metric,iqr,range_metric
0,6.1770000000000005,0.6666446966076843,1.0250000000000004,3.1000000000000005
1,3.6689999999999996,0.4130925496126196,0.5,1.8000000000000003
2,5.465,0.5677129378462143,0.9000000000000004,2.4000000000000004
3,5.165,0.6943313039147518,0.8999999999999995,3.3999999999999995
4,5.354,0.59669459897375,0.8999999999999995,2.8000000000000003
5,4.402,0.5966201099154768,0.7249999999999996,3.0
6,5.761,0.5754041179813534,0.7999999999999998,2.6000000000000005
