subset_index,mean_metric,std_metric,iqr,range_metric
0,0.8792138296961783,0.003476815386894591,0.005281263589859031,0.01645907759666443
1,0.8759235064387322,0.004381217243867929,0.005803237855434351,0.019781452417373724
2,0.8888370090723038,0.0028710779117614165,0.0037446245551109314,0.01298008561134334
3,0.8785307003259659,0.0035693669291198727,0.0037339344620703763,0.01918289065361023
4,0.8652200106978417,0.004334958144709673,0.00618445724248895,0.0220822751522064
5,0.8749632118344307,0.004119874178237043,0.00563326925039298,0.02141116857528691
