subset_index,mean_metric,std_metric,iqr,range_metric
0,0.9094234196543693,0.002632664101355466,0.003973452746868222,0.011254107952118009
1,0.9071866822242737,0.003004746419501685,0.004115481674671129,0.01571358442306514
2,0.9077744867205619,0.0021326404099771073,0.0021409586071967635,0.011689430475234963
3,0.9098019306659698,0.0024244883336991224,0.0029032260179518987,0.014545583724975608
4,0.9150803884267807,0.002664424407935566,0.0033959791064261946,0.015247869491577193
5,0.9096461471319199,0.0022208794063457607,0.00327087938785553,0.010147035121917725
6,0.919521222114563,0.002397227664966557,0.0033101722598075645,0.011535495519638062
