subset_index,mean_metric,std_metric,iqr,range_metric
0,0.48349262115621805,0.04364563175655962,0.06384522481847998,0.20942890643950152
1,0.4953383048822975,0.04508368351259638,0.06665411945396882,0.21949249580526825
2,0.48207908024212803,0.029526109713822368,0.037056966777345934,0.15056767389198872
3,0.4549367681474775,0.044143385295864555,0.05531750942662195,0.2593831417603609
4,0.493246457302563,0.04387587341806693,0.06967827221341771,0.20930768810197975
5,0.5714046301447768,0.05566312785230458,0.07851275694556537,0.2874816205352545
6,0.6517430149024414,0.032379130732844534,0.043890018015916854,0.1675997287034715
7,0.47100020134749426,0.03586397740354885,0.04775451682397114,0.20196484848622687
8,0.575549824857156,0.03657029015019454,0.05001006759646098,0.17392067648477344
9,0.5275067324920601,0.05167114936818804,0.06638371504322538,0.2393476572817465
