subset_index,mean_metric,std_metric,iqr,range_metric
0,0.9637131600379943,0.0013174811806799765,0.0017651468515396118,0.00754305124282828
1,0.964795705974102,0.0011796166179233564,0.0016034692525862537,0.005753183364868186
2,0.9599214940667153,0.0015244025277674968,0.002312625944614344,0.008225458860397383
3,0.963700364112854,0.0011001632886384666,0.001124194264411904,0.006652867794036843
4,0.9628216887712479,0.0010795434598582124,0.001377704739570662,0.006241160631179743
5,0.9691715556383133,0.000584997196220791,0.0008978098630904041,0.0024155914783476895
6,0.9694770983457565,0.0005510213830941865,0.0006484597921371238,0.0028538048267364724
7,0.9607768202424048,0.001333042896015231,0.0020646169781685098,0.0055876970291137695
8,0.9665398069024086,0.0009326464684364538,0.001219823956489563,0.006099015474319458
9,0.9650421673655509,0.0010660100446390304,0.001237709820270605,0.0056203067302704746
