subset_index,mean_metric,std_metric,iqr,range_metric
0,0.8748650479912757,0.01170964533821181,0.011417992413043976,0.06954859793186197
1,0.8954472758173943,0.006811029418405815,0.0071763589978217635,0.04425434470176692
2,0.8762093648910522,0.012786069484508666,0.010651792585849806,0.07652805447578426
3,0.8225428154915571,0.036958013031677554,0.06674186326563358,0.1441147685050964
4,0.8786034107208252,0.009209707958294419,0.010996413230895952,0.0429373323917388
5,0.8760084973573684,0.012116864165773513,0.016014677286148138,0.05498113632202151
6,0.8804651621729136,0.015989729436363804,0.011162427067756608,0.0986338831484318
