subset_index,mean_total,std_total,iqr_total,range_total
0,63.85,7.32558130213169,9.0,35
1,61.09,6.501118784835841,8.0,36
2,69.42,5.648240988363213,6.25,29
3,55.71,6.225225645985399,9.0,33
4,61.16,7.33157003594177,9.0,38
5,63.82,7.853944514983822,10.0,50
6,59.23,7.120684055211369,10.0,33
