subset_index,mean_total,std_total,iqr_total,range_total
0,200.0,0.0,0.0,0
1,200.0,0.0,0.0,0
2,199.31,1.0981619170047763,1.0,5
3,200.0,0.0,0.0,0
4,199.83,0.5514901759246542,0.0,3
5,200.0,0.0,0.0,0
6,200.0,0.0,0.0,0
