subset_index,mean_total,std_total,iqr_total,range_total
0,182.15,6.806673789804243,7.0,32
1,197.43,3.169472441204619,5.0,12
2,177.86,8.630483910259755,12.25,34
3,179.33,8.582405068958046,13.5,38
4,193.72,5.648062150915663,10.25,19
5,181.14,7.211130566034984,7.25,32
