subset_index,mean_total,std_total,iqr_total,range_total
0,140.33,7.061139919991455,10.0,37
1,123.21,8.21958120292726,10.0,45
2,156.41,7.355469345523049,9.0,35
3,152.37,4.011737828428019,6.0,21
4,115.4,5.66933983294476,8.0,26
5,137.28,4.579444631318639,6.0,21
6,108.54,7.084511488472804,10.25,35
