subset_index,mean_metric,std_metric,iqr,range_metric
0,0.9583251456618309,0.003801977747612889,0.005919659137725852,0.017202335596084528
1,0.9566525347828865,0.0032577968752434744,0.004468895494937897,0.016196012496948242
2,0.9517278931736947,0.003889405603221384,0.004873223602771759,0.018061119318008356
3,0.952774672150612,0.0029272401902742016,0.003595443069934756,0.013477081060409457
4,0.9585152601599694,0.002735589429569073,0.0034374669194222607,0.012665653228759788
5,0.959321008503437,0.0040555016457446665,0.004990532994270325,0.01814540028572087
6,0.9534122777581214,0.0033304114347824094,0.004970520734786987,0.01553665399551385
7,0.9490738565325736,0.003944808655100518,0.005596996843814872,0.017625486850738503
8,0.9431208375692367,0.0034748549267652495,0.004386104643344879,0.019844222068786666
9,0.9536001451015472,0.003015013620403466,0.004326821863651187,0.016039681434631303
