subset_index,mean_metric,std_metric,iqr,range_metric
0,0.9582381640076637,0.0001813723375921771,0.000186252593994074,0.0010884165763854758
1,0.9501122376918792,0.0008243214137800163,0.0008902058005332281,0.004448199272155673
2,0.9555943726301193,0.0002689681236803153,0.0002545759081840071,0.0018080472946166992
3,0.9500700296163559,0.0008170567024561757,0.0009554445743560347,0.004484498500823997
4,0.9493381910324097,0.0006655366431600164,0.0009930178523064326,0.002961117029190108
5,0.9553184046149253,0.00044466323712781725,0.0005946129560470137,0.002130782604217507
6,0.9435420892834664,0.0004385056039873639,0.0003761216998100503,0.003240931034088068
