subset_index,mean_metric,std_metric,iqr,range_metric
0,0.4818108449595545,0.04928967728816391,0.06587345375996317,0.22493707695763482
1,0.546151572696993,0.034426790682144666,0.05484375983544543,0.16009876018961156
2,0.5942307131463445,0.0370184232203302,0.0481579512302962,0.18442866103533606
3,0.3225976877933345,0.04607159366555789,0.06376821985897607,0.24350677635284382
4,0.575880001730847,0.04622980765033299,0.06695096800023481,0.19755332172806805
5,0.42765344165929803,0.03246334513214203,0.051885433014405236,0.15751854775814905
6,0.41181426421307177,0.041183775030950186,0.05543773542709807,0.22823723501717763
