subset_index,mean_total,std_total,iqr_total,range_total
0,33.57,3.665991673407751,5.0,19
1,48.02,6.93546004678897,10.25,33
2,60.6,5.579544168775183,7.0,28
3,44.84,5.76600977165914,8.0,24
4,32.81,5.5317175442984245,9.0,23
5,23.82,4.577900361210553,6.0,23
6,56.52,5.6111001100002165,6.25,28
7,75.31,6.170465660276091,8.0,32
8,66.57,6.3089722866035265,7.25,37
9,57.19,5.818283616533679,7.5,30
