subset_index,mean_metric,std_metric,iqr,range_metric
0,0.9038602986931801,0.0012421265629112437,0.001623722910881198,0.0071703732013702615
1,0.9043417699933052,0.0013546388089100817,0.0019090324640274048,0.006466460227966264
2,0.9033303853869438,0.0013710183386072812,0.001779425144195601,0.007172763347625732
3,0.903646875500679,0.0013736878764719286,0.001644335687160492,0.006176286935806297
4,0.9030792083740234,0.001964576976935633,0.002440939843654677,0.012505704164505027
5,0.8995208723545075,0.001777537359668312,0.002638536691665583,0.007854473590850897
6,0.902924366414547,0.0018508623639918145,0.002469275891780809,0.010926741361618086
