subset_index,mean_metric,std_metric,iqr,range_metric
0,0.9731310891509056,0.0006086573565261571,0.0007404580712317976,0.0029910445213318093
1,0.9724471364617348,0.0005989327869269766,0.0008220002055168152,0.0025547981262207253
2,0.972223767697811,0.000699175655552213,0.0009994342923164146,0.0035454630851745605
3,0.9741976922750473,0.0007599442171081687,0.0010212436318397522,0.003776687383651667
4,0.9744634965062141,0.0007167770465919229,0.0009439602494240029,0.00362468361854551
5,0.9740577525496482,0.0007137273688276027,0.0008501231670379195,0.003718572854995772
6,0.972287412583828,0.0005529932824662715,0.0007924109697341475,0.00309769511222846
7,0.9714472546577454,0.0006742447924314978,0.0009593993425368597,0.00325272679328914
8,0.9718977684974671,0.0005712920930116565,0.0007728427648544534,0.003250527381897017
9,0.972076249063015,0.0005595789599255496,0.000597633421421051,0.0029910504817962646
