subset_index,mean_metric,std_metric,iqr,range_metric
0,0.912034117937088,0.0030017708458672005,0.004261520504951433,0.013122481107711859
1,0.915463804602623,0.003044093847496098,0.003947213292121887,0.013609379529953003
2,0.9153885824680329,0.0031223712921941323,0.003489238023758001,0.01827720999717708
3,0.9097880302667618,0.003623541656282248,0.004879757761955261,0.020313072204589888
4,0.912943781554699,0.0027623685043720726,0.0034504264593124834,0.013802134990692161
5,0.9129848959445954,0.003083872600188253,0.004764181375503496,0.014730298519134544
6,0.9139928909540177,0.002909689250231117,0.004126694798469499,0.013078802824020408
