,subset_index,mean_dice,std_dice,iqr,dice_range
0,0,0.8636534655695428,0.004210824509744161,0.004601790010898665,0.026331365108490656
1,1,0.8596270625597284,0.006917561723347504,0.007386758923224157,0.037239074707078657
2,2,0.8342337546949798,0.017317393140309376,0.028991596400989694,0.06454004943362357
3,3,0.8531918902998161,0.009535943838586247,0.012398663163206813,0.03509612679474028
4,4,0.8642879254227808,0.004452906209784035,0.005155001580771756,0.024786239862228165
5,5,0.8621347653870857,0.00799198819174425,0.006930206716312837,0.04052683711076366
6,6,0.8342763717180071,0.012402279782808733,0.015554162860248466,0.0557906389239321
7,7,0.8162906832253131,0.01825445321470955,0.014552168548036426,0.1099263727661991
8,8,0.8403230428104689,0.01048167175527837,0.012337505817482497,0.053582954406942385
9,9,0.8520972025400008,0.007753653258689298,0.01179067194452843,0.02910519838295611
