subset_index,mean_total,std_total,iqr_total,range_total
0,33.82,3.9908481162365343,5.0,24
1,48.28,7.099694117753001,11.0,36
2,61.45,6.55108133567785,9.0,33
3,45.08,5.404225806316441,7.25,23
4,33.72,5.373109251662677,7.0,27
5,23.27,4.2684063688094325,7.0,22
6,56.12,5.617936642684051,7.25,28
7,75.53,6.429815335802826,9.0,31
8,65.99,6.512606268157189,9.0,33
9,56.96,5.7768608441022025,8.0,29
