experiment_seed,perm_gen_seed,permutation_index,image_index,image_id,initial_dice,final_dice,iterations_used,reached_cutoff,commit_type,protocol,dice_cutoff,prompt_limit,context_size
23,87,64,40,27,0.2955181896686554,0.9059662818908693,9,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,40
23,87,64,41,109,0.7492995858192444,0.9014189839363098,20,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,41
23,87,64,42,150,0.6734656691551208,0.8789811730384827,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,42
23,87,64,43,205,0.170940026640892,0.9083517789840698,3,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,43
23,87,64,44,183,0.1309073865413665,0.910214066505432,2,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,44
23,87,64,45,192,0.2778484225273132,0.9260903596878052,2,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,45
23,87,64,46,67,0.682203471660614,0.9004822373390198,10,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,46
23,87,64,47,7,0.906206488609314,0.906206488609314,0,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,47
23,87,64,48,81,0.145282357931137,0.9005908370018005,5,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,48
23,87,64,49,71,0.0275476388633251,0.9027357697486876,11,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,49
23,87,64,50,120,6.261171442423219e-11,0.8642586469650269,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,50
23,87,64,51,96,0.3767878115177154,0.8930989503860474,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,51
23,87,64,52,33,0.0322637297213077,0.8840510249137878,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,52
