experiment_seed,perm_gen_seed,permutation_index,image_index,image_id,initial_dice,final_dice,iterations_used,reached_cutoff,commit_type,protocol,dice_cutoff,prompt_limit,context_size
23,55,32,0,147,1.3112384789071283e-10,0.8581296801567078,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,0
23,55,32,1,85,2.8667635973422808e-11,0.9234347939491272,2,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,1
23,55,32,2,202,0.3163591921329498,0.8960374593734741,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,2
23,55,32,3,139,0.7691249847412109,0.9002443552017212,16,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,3
23,55,32,4,113,0.5987243056297302,0.8965116739273071,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,4
23,55,32,5,197,7.973385840465139e-11,0.7326279878616333,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,5
23,55,32,6,87,3.5244935442380054e-11,0.8752936124801636,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,6
23,55,32,7,120,0.0209928099066019,0.8751153349876404,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,7
23,55,32,8,179,0.6463914513587952,0.9065189957618712,6,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,8
23,55,32,9,167,0.1138758584856987,0.9002198576927185,17,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,9
23,55,32,10,175,0.0352756083011627,0.8986496925354004,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,10
23,55,32,11,28,0.6737162470817566,0.9003146886825562,10,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,11
23,55,32,12,158,0.6254621148109436,0.9041526913642884,5,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,12
23,55,32,13,155,0.1481186598539352,0.9038522243499756,12,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,13
23,55,32,14,81,0.5926238298416138,0.9111626744270324,8,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,14
23,55,32,15,71,0.0235019456595182,0.9006001949310303,15,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,15
23,55,32,16,54,0.0249535981565713,0.8772138953208923,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,16
23,55,32,17,32,0.0024819613900035,0.8826436400413513,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,17
23,55,32,18,223,0.5194227695465088,0.9026221632957458,15,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,18
23,55,32,19,7,0.2219857722520828,0.9100603461265564,4,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,19
23,55,32,20,19,0.4046066403388977,0.8479796051979065,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,20
23,55,32,21,9,0.1192739456892013,0.9015036225318908,10,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,21
23,55,32,22,3,4.202519582330311e-11,0.9067009687423706,5,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,22
23,55,32,23,109,0.593147873878479,0.9001243710517883,14,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,23
23,55,32,24,91,0.2579573094844818,0.9024146795272828,16,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,24
23,55,32,25,162,1.1583279047044923e-06,0.8517597913742065,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,25
23,55,32,26,188,0.5002971887588501,0.9166824221611024,3,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,26
23,55,32,27,67,0.6632362604141235,0.9015997052192688,7,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,27
23,55,32,28,204,0.5536782145500183,0.9035540819168092,13,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,28
23,55,32,29,88,0.6628444194793701,0.9001997113227844,12,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,29
23,55,32,30,0,0.5264973044395447,0.9008352756500244,7,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,30
23,55,32,31,216,0.587904155254364,0.8530508279800415,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,31
23,55,32,32,96,0.4802058637142181,0.8940485119819641,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,32
23,55,32,33,218,0.2289384007453918,0.9295684099197388,5,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,33
23,55,32,34,170,0.0659690797328949,0.9043787717819214,15,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,34
23,55,32,35,99,0.5409206748008728,0.9005537033081055,12,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,35
23,55,32,36,83,0.5489537715911865,0.9008105993270874,15,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,36
23,55,32,37,150,0.7529998421669006,0.8745511174201965,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,37
23,55,32,38,26,1.1438820723963515e-10,0.8785772323608398,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,38
23,55,32,39,161,0.1504011750221252,0.7955484986305237,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,39
