variant,variant_label,family,commit_type,dice_cutoff,context_size,n_tasks,iqr_rel_mean,iqr_rel_ci_lo,iqr_rel_ci_hi
commit_label_97,Label 0.97,HipXRay,ground_truth,0.97,10,4,0.2532241822132803,0.18018952846170133,0.3262588359648593
commit_label_97,Label 0.97,SCR,ground_truth,0.97,0,20,0.7947431464246508,0.6815408859815523,0.9005254974344835
commit_label_97,Label 0.97,SCR,ground_truth,0.97,1,20,1.0,1.0,1.0
commit_label_97,Label 0.97,SCR,ground_truth,0.97,2,20,0.9286029197160157,0.846597202646072,1.018342714518237
commit_label_97,Label 0.97,SCR,ground_truth,0.97,4,20,0.9013936774084381,0.7707206239639092,1.023460068766443
commit_label_97,Label 0.97,SCR,ground_truth,0.97,8,20,0.6986650770915169,0.5973751039615984,0.7984884244457139
commit_label_97,Label 0.97,SCR,ground_truth,0.97,10,20,0.5717786609658343,0.41817790315008607,0.7247371758351538
commit_label_97,Label 0.97,T1mix,ground_truth,0.97,0,27,0.6373308634792842,0.5240988699835895,0.7528994424510616
commit_label_97,Label 0.97,T1mix,ground_truth,0.97,1,27,1.0,1.0,1.0
commit_label_97,Label 0.97,T1mix,ground_truth,0.97,2,27,0.8430368880063007,0.7407181466036112,0.9503757798364832
commit_label_97,Label 0.97,T1mix,ground_truth,0.97,4,27,0.6970817387332553,0.6103388470378585,0.7810062551666392
commit_label_97,Label 0.97,T1mix,ground_truth,0.97,8,27,0.5358822881459359,0.45828161511642534,0.6138053156204342
commit_label_97,Label 0.97,T1mix,ground_truth,0.97,10,27,0.487060808238726,0.4037497251631936,0.571923921518108
commit_pred_90,Pred 0.90,ACDC,prediction,0.9,0,6,0.8554754014156069,0.7238766777900798,0.9947001561810246
commit_pred_90,Pred 0.90,ACDC,prediction,0.9,1,6,1.0,1.0,1.0
commit_pred_90,Pred 0.90,ACDC,prediction,0.9,2,6,1.0883525569837273,0.9016816150938352,1.3583075511735405
commit_pred_90,Pred 0.90,ACDC,prediction,0.9,4,6,1.0467332695626503,0.794721995351081,1.2756544366100269
