variant,family,commit_type,dice_cutoff,context_size,n_tasks,iqr_rel_mean,iqr_rel_ci_lo,iqr_rel_ci_hi
commit_label_97,BUID,ground_truth,0.97,8,4,0.09641732951043097,0.07813844652415546,0.11469621249670647
commit_label_97,BUID,ground_truth,0.97,10,4,0.0,0.0,0.0
commit_label_97,HipXRay,ground_truth,0.97,1,4,1.0,1.0,1.0
commit_label_97,HipXRay,ground_truth,0.97,2,4,0.8477038534915622,0.6740276373506802,1.021380069632444
commit_label_97,HipXRay,ground_truth,0.97,4,4,0.5383615492197487,0.45677583258402366,0.6199472658554737
commit_label_97,HipXRay,ground_truth,0.97,8,4,0.1161496634508219,0.028419936065219056,0.20387939083642476
commit_label_97,HipXRay,ground_truth,0.97,10,4,0.0,0.0,0.0
commit_label_97,PanDental,ground_truth,0.97,1,4,1.0,1.0,1.0
commit_label_97,PanDental,ground_truth,0.97,2,4,0.43333196101112564,0.4054789825774184,0.46118493944483296
commit_label_97,PanDental,ground_truth,0.97,4,4,1.1067655660965654,0.15105420486884544,2.0624769273242856
commit_label_97,PanDental,ground_truth,0.97,8,4,0.3750337789234133,0.05515497045273274,0.6949125873940938
commit_label_97,PanDental,ground_truth,0.97,10,4,0.0,0.0,0.0
commit_label_97,SCD,ground_truth,0.97,1,4,1.0,1.0,1.0
commit_label_97,SCD,ground_truth,0.97,2,4,0.23682659494517394,0.14871091093764602,0.31989136594569223
commit_label_97,SCD,ground_truth,0.97,4,4,0.1475892870196615,0.07844397727390237,0.21884960705861758
commit_label_97,SCD,ground_truth,0.97,8,4,0.06973514770678119,0.036625231072263564,0.10209333250753445
commit_label_97,SCD,ground_truth,0.97,10,4,0.0,0.0,0.0
commit_label_97,SCR,ground_truth,0.97,1,20,1.0,1.0,1.0
commit_label_97,SCR,ground_truth,0.97,2,20,0.574451125013414,0.4703880111460231,0.6795984258559199
commit_label_97,SCR,ground_truth,0.97,4,20,0.3976864652993558,0.3180014237051045,0.4768166246301937
