subset_index,mean_metric,std_metric,iqr,range_metric
0,0.9177441229224205,0.003069507052299564,0.004225298762321472,0.014629119634628207
1,0.9155757285952568,0.00328051485698388,0.00440167635679245,0.01833996772766111
2,0.9150626952052116,0.0029753508325170643,0.00408496558666227,0.01562521457672128
3,0.9131153743267059,0.0026817118215597263,0.0035827204585076045,0.013773256540298484
4,0.9142172626256942,0.0032279085579982785,0.004457928240299114,0.014935791492462158
5,0.9109134851098061,0.0031417967685702015,0.004040442407131195,0.01610705256462097
6,0.9135788204073906,0.0031257461654421834,0.003968888521194369,0.014366203546523959
