subset_index,mean_metric,std_metric,iqr,range_metric
0,0.8955386461019517,0.0039976910449980455,0.004855880141258151,0.02814113497734072
1,0.8888872560262681,0.0034764824988674026,0.004131239652633623,0.01597071290016172
2,0.8978648800253868,0.002571047326463984,0.0027137845754624523,0.013721221685409568
3,0.8770097261667251,0.0065733294949214096,0.00737148076295846,0.03317286372184747
4,0.8836451860666276,0.0039265400242174875,0.006003631651401609,0.018552011251449563
5,0.8934171697497368,0.0030978435952256265,0.0032759442925452964,0.017675256729126065
6,0.9013440769910812,0.0019606510746425637,0.0024694144725799783,0.008695369958877652
7,0.8786649283766746,0.004929534891601921,0.005185401439666726,0.0250066697597503
8,0.8855321811735629,0.00866541009479571,0.005536277592182226,0.05594213306903839
9,0.8796725668311118,0.007091424593801705,0.010102757811546348,0.028829777240753196
