subset_index,mean_metric,std_metric,iqr,range_metric
0,0.13724393183249206,0.03177442511806626,0.05043645705952188,0.1266044266721396
1,0.3341918709787636,0.03786715191125519,0.05604042085109989,0.17617297022985887
2,0.21855676364963406,0.031103212384209024,0.04082110741464601,0.14632615155053663
3,0.10703815466490008,0.02883654312092111,0.04152792907289203,0.1306721858142088
4,0.19300525026633408,0.03038098478747679,0.03616919443321753,0.1439528838187673
5,0.2122652970851804,0.02842517418057109,0.03812164513601227,0.1443539179578401
6,0.21440665704422,0.03398065804165965,0.0522213642197189,0.16792882250787836
7,0.31261523527283636,0.038622473661497334,0.05062624681483058,0.17297000061137224
8,0.17586041467159327,0.024309997665982873,0.031765244006430715,0.11620258685869725
9,0.18451322005558157,0.04547472380072094,0.06254365331450978,0.20948067558146466
