subset_index,mean_total,std_total,iqr_total,range_total
0,79.94,9.32880842694643,14.0,53
1,65.16,6.475626407826301,8.5,32
2,65.45,7.567040439306571,10.25,33
3,58.4,6.812051115782999,8.0,33
4,57.31,5.996118272969133,7.25,37
5,70.32,7.963147441289605,11.25,38
6,62.83,7.222376843721689,9.25,32
