subset_index,mean_total,std_total,iqr_total,range_total
0,14.95,3.5967858828221457,4.0,20
1,10.48,3.217628212384288,3.5,16
2,16.48,3.245758693271805,5.0,16
3,25.54,5.619985980787002,8.0,27
4,12.92,4.0568684743508525,5.0,20
5,11.41,2.1977720582903997,3.0,11
6,9.02,3.181321750594881,4.0,13
7,15.69,3.2526446116501835,4.0,17
8,42.99,5.36824746151673,7.25,24
9,8.09,2.433333333333333,2.25,12
