subset_index,mean_metric,std_metric,iqr,range_metric
0,0.9454222319722176,0.0006305466932391643,0.0008105263113975525,0.0032797157764434814
1,0.940490066409111,0.0004622933797679954,0.000639691948890686,0.002395105361938432
2,0.9418904361724852,0.0005777732180227556,0.000751732289791196,0.0037553012371063232
3,0.9287437562942504,0.0015163871984168545,0.0018036514520645142,0.009112352132797263
4,0.9358292636871337,0.0007354066035200968,0.0009077891707419683,0.0038150370121001753
5,0.9364060310721398,0.0005800900301248565,0.0007136628031730874,0.0027208864688872403
6,0.9430141354799271,0.0006931681767280288,0.0007941812276839322,0.0033199369907379594
