subset_index,mean_metric,std_metric,iqr,range_metric
0,0.9697426828742027,0.0005580360059639024,0.0008066117763518843,0.002694106101989835
1,0.9699568023085594,0.0008624109081443434,0.0010913848876953347,0.005153965950012274
2,0.9646953408122063,0.0007056120777747582,0.0007761031389236228,0.003616136312484808
3,0.9564085000753403,0.001449320012011776,0.001382187008857616,0.007171666622161843
4,0.9704150480031967,0.0007373363369116158,0.0007724329829216225,0.00480066537857049
5,0.9719885199666024,0.0005649258811308825,0.0007434755563736628,0.0032880306243896484
6,0.968000294983387,0.0008355759330956504,0.00104028880596152,0.004510110616683938
