experiment_seed,permutation_seed,image_index,iteration,commit_ground_truth,dice_cutoff,pos_clicks,neg_clicks,score,prompt_limit
23,0,0,0,False,0.9,1,0,0.7719486355781555,5
23,0,0,1,False,0.9,2,0,0.8492525815963745,5
23,0,0,2,False,0.9,3,0,0.9501034617424011,5
23,0,1,0,False,0.9,1,0,0.9775658845901489,5
23,0,2,0,False,0.9,1,0,0.9674394130706787,5
23,0,3,0,False,0.9,1,0,0.8848940134048462,5
23,0,3,1,False,0.9,2,0,0.9537920355796814,5
23,0,4,0,False,0.9,1,0,0.9222571849822998,5
23,0,5,0,False,0.9,1,0,0.9561790227890015,5
