subset_index,mean_metric,std_metric,iqr,range_metric
0,1.6280000000000001,0.21931021338954942,0.30000000000000004,0.8
1,1.2009999999999998,0.31188414062231057,0.3999999999999999,1.3
2,1.001,0.2199609699079096,0.3999999999999999,0.7999999999999999
3,1.4680000000000002,0.23607908279501044,0.30000000000000004,1.3000000000000003
4,1.339,0.2729912863522248,0.30000000000000004,1.3
5,1.6440000000000001,0.24876259421952546,0.32499999999999996,1.1
6,1.7519999999999998,0.30234103428099374,0.3999999999999999,1.5000000000000002
