subset_index,mean_total,std_total,iqr_total,range_total
0,191.52,3.1987371245413683,2.0,15
1,200.0,0.0,0.0,0
2,200.0,0.0,0.0,0
3,199.7,0.784959627090222,0.0,4
4,198.34,2.0161970402345433,3.0,8
5,194.47,2.2313423961572756,3.0,10
6,200.0,0.0,0.0,0
