subset_index,mean_metric,std_metric,iqr,range_metric
0,13.158,0.647010218019949,0.9000000000000004,2.6999999999999993
1,12.752,0.6509480265991534,0.7999999999999989,3.299999999999999
2,12.594000000000001,0.6600918209773637,0.7249999999999996,3.3000000000000007
3,15.949000000000002,0.4736479961347078,0.7000000000000011,3.0
4,12.109000000000002,0.62346295848756,0.8250000000000011,3.5
5,14.283,0.6072050558073278,0.7249999999999996,2.8000000000000007
6,12.948,0.4995917525259192,0.6000000000000014,2.5999999999999996
7,15.463,0.5398568833917505,0.7250000000000014,2.5
8,11.14,0.5773502691896257,0.9000000000000004,2.5999999999999996
9,13.173,0.6247189266972286,1.0,2.6999999999999993
