subset_index,mean_metric,std_metric,iqr,range_metric
0,0.9274445570111274,0.0041004394869594415,0.005067034065723397,0.02133865356445308
1,0.9207994290590287,0.003974414697945979,0.004084053635597273,0.022869819402694724
2,0.9250253171324729,0.004412696646754309,0.005601589381694749,0.02119444608688359
3,0.9297862188220024,0.0037493393623807946,0.005543750524520941,0.019013142585754372
4,0.9269723606705665,0.0035288260117085726,0.004008083045482724,0.01753433942794791
5,0.9298744138479234,0.0036966596742186598,0.004923278093338146,0.01817188262939451
