subset_index,mean_metric,std_metric,iqr,range_metric
0,0.9241904287934304,0.0037894838024097924,0.004865449666976884,0.017829126119613625
1,0.9212061591148377,0.0029155155708443176,0.004341800510883398,0.015147900581359841
2,0.9235415557026863,0.0035070678929543463,0.004600699245929762,0.016044169664382935
3,0.9237374055981635,0.003703933175716123,0.005649995803832963,0.014788186550140359
4,0.9270762895345688,0.0036153063662804977,0.0042939081788062605,0.020264518260955877
5,0.9187806771993636,0.0029175133569481243,0.0032002985477447288,0.013853794336318948
6,0.9253978266716004,0.0037569909839232957,0.005377826094627336,0.018838703632354736
7,0.9211935019493103,0.0024006234320669033,0.0033476948738099255,0.011993092298507646
8,0.9302999890446663,0.003714264348074378,0.005711148679256484,0.017648971080780007
9,0.9283209918737412,0.0027549829357636064,0.0037649065256118996,0.011893045902252264
