subset_index,mean_total,std_total,iqr_total,range_total
0,15.61,2.0493655091025103,3.0,9
1,17.85,1.929960485281363,2.0,8
2,29.22,2.900992515632809,4.0,14
3,24.58,2.889129749088937,3.0,14
4,24.54,2.982846582942834,3.25,16
5,23.37,2.9870258171504367,4.0,12
6,18.04,2.4860012108207066,4.0,11
7,14.36,2.1058840126529943,3.0,10
8,13.97,2.1530105771812975,2.0,11
9,20.24,2.5310994935925866,4.0,15
