subset_index,mean_metric,std_metric,iqr,range_metric
0,0.9264415500164032,0.0043908939800902345,0.004829502105712868,0.027667772769927934
1,0.926750355541706,0.004256825750581011,0.005215595662593886,0.02139973044395438
2,0.9292796247601509,0.004624482460629199,0.006852483749389626,0.021297597885131747
3,0.9268830377459526,0.0035734468485073643,0.004000511765480108,0.019645267724990867
4,0.9224379740357399,0.0036080531659187826,0.0050233229994773865,0.015602141618728638
5,0.9301881075501441,0.004022582774807333,0.005124136805534363,0.021297931671142578
6,0.9274968528151513,0.004637125213007179,0.004861670732498102,0.02435126304626456
