subset_index,mean_metric,std_metric,iqr,range_metric
0,17.118,0.5164721041289978,0.6999999999999993,2.799999999999999
1,13.63,0.8133358171844832,1.0500000000000007,3.700000000000001
2,18.708,0.6201466102316602,0.8000000000000007,2.8000000000000007
3,16.082,0.7275779662480832,1.0000000000000018,3.5
4,14.946,0.8391217149646724,1.0,3.6000000000000014
5,16.935,0.6600237216428764,0.8249999999999993,2.9000000000000004
6,13.882,1.0262592658817167,1.325000000000001,4.800000000000001
7,17.349,0.6396803178861366,0.8249999999999993,3.0
8,16.099,0.6920172532443676,0.7249999999999996,3.400000000000002
9,14.552,1.2501700894379344,1.7500000000000018,6.299999999999999
