subset_index,mean_metric,std_metric,iqr,range_metric
0,16.117,0.34113743194605195,0.5249999999999986,1.5999999999999979
1,16.191,0.31175456546923147,0.3999999999999986,1.5
2,18.122,0.30036341624469176,0.40000000000000213,1.3999999999999986
3,17.855999999999998,0.37045426659219827,0.5,2.400000000000002
4,17.462,0.3335696132274143,0.3999999999999986,2.099999999999998
5,17.303,0.24056121252125554,0.3999999999999986,1.3000000000000007
6,15.463,0.26194879598343584,0.3249999999999993,1.1999999999999993
